fixture,type,department,section,shelf,facing,x,y,depth,width
BULK,Bulk bin wall,Sales floor,1,1,1,1.5,23.50,3,
BULK,Bulk bin wall,Sales floor,1,1,2,1.5,23.50,3,
BULK,Bulk bin wall,Sales floor,1,2,1,1.5,23.50,3,
BULK,Bulk bin wall,Sales floor,1,2,2,1.5,23.50,3,
BULK,Bulk bin wall,Sales floor,1,3,1,1.5,23.50,3,
BULK,Bulk bin wall,Sales floor,1,3,2,1.5,23.50,3,
BULK,Bulk bin wall,Sales floor,1,4,1,1.5,23.50,3,
BULK,Bulk bin wall,Sales floor,1,4,2,1.5,23.50,3,
BULK,Bulk bin wall,Sales floor,2,1,1,1.5,26.50,3,
BULK,Bulk bin wall,Sales floor,2,1,2,1.5,26.50,3,
BULK,Bulk bin wall,Sales floor,2,2,1,1.5,26.50,3,
BULK,Bulk bin wall,Sales floor,2,2,2,1.5,26.50,3,
BULK,Bulk bin wall,Sales floor,2,3,1,1.5,26.50,3,
BULK,Bulk bin wall,Sales floor,2,3,2,1.5,26.50,3,
BULK,Bulk bin wall,Sales floor,2,4,1,1.5,26.50,3,
BULK,Bulk bin wall,Sales floor,2,4,2,1.5,26.50,3,
BULK,Bulk bin wall,Sales floor,3,1,1,1.5,29.50,3,
BULK,Bulk bin wall,Sales floor,3,1,2,1.5,29.50,3,
BULK,Bulk bin wall,Sales floor,3,2,1,1.5,29.50,3,
BULK,Bulk bin wall,Sales floor,3,2,2,1.5,29.50,3,
BULK,Bulk bin wall,Sales floor,3,3,1,1.5,29.50,3,
BULK,Bulk bin wall,Sales floor,3,3,2,1.5,29.50,3,
BULK,Bulk bin wall,Sales floor,3,4,1,1.5,29.50,3,
BULK,Bulk bin wall,Sales floor,3,4,2,1.5,29.50,3,
BULK,Bulk bin wall,Sales floor,4,1,1,1.5,32.50,3,
BULK,Bulk bin wall,Sales floor,4,1,2,1.5,32.50,3,
BULK,Bulk bin wall,Sales floor,4,2,1,1.5,32.50,3,
BULK,Bulk bin wall,Sales floor,4,2,2,1.5,32.50,3,
BULK,Bulk bin wall,Sales floor,4,3,1,1.5,32.50,3,
BULK,Bulk bin wall,Sales floor,4,3,2,1.5,32.50,3,
BULK,Bulk bin wall,Sales floor,4,4,1,1.5,32.50,3,
BULK,Bulk bin wall,Sales floor,4,4,2,1.5,32.50,3,
BULK,Bulk bin wall,Sales floor,5,1,1,1.5,35.50,3,
BULK,Bulk bin wall,Sales floor,5,1,2,1.5,35.50,3,
BULK,Bulk bin wall,Sales floor,5,2,1,1.5,35.50,3,
BULK,Bulk bin wall,Sales floor,5,2,2,1.5,35.50,3,
BULK,Bulk bin wall,Sales floor,5,3,1,1.5,35.50,3,
BULK,Bulk bin wall,Sales floor,5,3,2,1.5,35.50,3,
BULK,Bulk bin wall,Sales floor,5,4,1,1.5,35.50,3,
BULK,Bulk bin wall,Sales floor,5,4,2,1.5,35.50,3,
BULK,Bulk bin wall,Sales floor,6,1,1,1.5,38.50,3,
BULK,Bulk bin wall,Sales floor,6,1,2,1.5,38.50,3,
BULK,Bulk bin wall,Sales floor,6,2,1,1.5,38.50,3,
BULK,Bulk bin wall,Sales floor,6,2,2,1.5,38.50,3,
BULK,Bulk bin wall,Sales floor,6,3,1,1.5,38.50,3,
BULK,Bulk bin wall,Sales floor,6,3,2,1.5,38.50,3,
BULK,Bulk bin wall,Sales floor,6,4,1,1.5,38.50,3,
BULK,Bulk bin wall,Sales floor,6,4,2,1.5,38.50,3,
BULK,Bulk bin wall,Sales floor,7,1,1,1.5,41.50,3,
BULK,Bulk bin wall,Sales floor,7,1,2,1.5,41.50,3,
BULK,Bulk bin wall,Sales floor,7,2,1,1.5,41.50,3,
BULK,Bulk bin wall,Sales floor,7,2,2,1.5,41.50,3,
BULK,Bulk bin wall,Sales floor,7,3,1,1.5,41.50,3,
BULK,Bulk bin wall,Sales floor,7,3,2,1.5,41.50,3,
BULK,Bulk bin wall,Sales floor,7,4,1,1.5,41.50,3,
BULK,Bulk bin wall,Sales floor,7,4,2,1.5,41.50,3,
BULK,Bulk bin wall,Sales floor,8,1,1,1.5,44.50,3,
BULK,Bulk bin wall,Sales floor,8,1,2,1.5,44.50,3,
BULK,Bulk bin wall,Sales floor,8,2,1,1.5,44.50,3,
BULK,Bulk bin wall,Sales floor,8,2,2,1.5,44.50,3,
BULK,Bulk bin wall,Sales floor,8,3,1,1.5,44.50,3,
BULK,Bulk bin wall,Sales floor,8,3,2,1.5,44.50,3,
BULK,Bulk bin wall,Sales floor,8,4,1,1.5,44.50,3,
BULK,Bulk bin wall,Sales floor,8,4,2,1.5,44.50,3,
BULK,Bulk bin wall,Sales floor,9,1,1,1.5,47.50,3,
BULK,Bulk bin wall,Sales floor,9,1,2,1.5,47.50,3,
BULK,Bulk bin wall,Sales floor,9,2,1,1.5,47.50,3,
BULK,Bulk bin wall,Sales floor,9,2,2,1.5,47.50,3,
BULK,Bulk bin wall,Sales floor,9,3,1,1.5,47.50,3,
BULK,Bulk bin wall,Sales floor,9,3,2,1.5,47.50,3,
BULK,Bulk bin wall,Sales floor,9,4,1,1.5,47.50,3,
BULK,Bulk bin wall,Sales floor,9,4,2,1.5,47.50,3,
BULK,Bulk bin wall,Sales floor,10,1,1,1.5,50.50,3,
BULK,Bulk bin wall,Sales floor,10,1,2,1.5,50.50,3,
BULK,Bulk bin wall,Sales floor,10,2,1,1.5,50.50,3,
BULK,Bulk bin wall,Sales floor,10,2,2,1.5,50.50,3,
BULK,Bulk bin wall,Sales floor,10,3,1,1.5,50.50,3,
BULK,Bulk bin wall,Sales floor,10,3,2,1.5,50.50,3,
BULK,Bulk bin wall,Sales floor,10,4,1,1.5,50.50,3,
BULK,Bulk bin wall,Sales floor,10,4,2,1.5,50.50,3,
